AP,AT,PE,RH,V
1017.04,11.94,475.59,89.88,39.28
1010.66,25.68,449.04,69.51,67.79
1020.1,17.84,454.57,70.68,61.27
1019.29,22.66,448.68,55.43,61.27
1014.06,15.69,462.07,61.51,44.6
1009.63,22.88,442.5,87.82,63.91
1005.97,30.78,427.15,58.7,73.67
1014.3,18.44,461.99,86.02,45.38
1015.09,12.03,464.02,90.43,41.58
1010.05,27.74,436.87,60.82,74.78
1006.71,33.01,433.5,53.25,69.88
1019.92,10.56,479.33,78.95,41.54
1010.51,28.8,434.82,59.87,71.58
1016.8,18.0,454.59,78.88,44.06
1002.83,15.27,465.99,77.77,38.73
1002.04,6.26,485.57,87.54,41.31
1018.34,9.24,477.65,84.91,41.4
1014.81,19.65,452.5,90.23,51.3
1008.81,21.32,445.65,85.81,49.02
1020.36,8.43,484.94,87.28,40.69
1013.96,23.49,459.9,65.31,42.8
1013.73,17.88,456.77,67.78,46.97
1008.24,24.7,444.65,57.62,44.57
1013.65,28.4,442.23,48.6,74.93
1005.31,24.59,438.09,76.81,60.37
1009.72,18.28,452.93,85.79,60.1
1010.47,10.08,474.63,66.37,37.92
1015.83,14.48,462.3,92.15,46.18
1010.25,24.77,448.25,47.04,48.92
1005.61,26.13,431.29,90.27,79.74
1021.16,7.61,484.14,83.22,38.06
1012.84,22.06,442.31,87.06,59.21
1002.25,20.51,452.39,47.97,39.72
1013.93,22.99,445.44,78.77,56.57
1011.2,14.05,464.63,94.54,39.59
1016.19,10.95,474.36,77.96,40.81
1014.54,11.84,473.82,86.78,40.05
1009.0,20.76,445.0,87.23,51.19
1017.48,12.89,463.77,83.95,48.14
1006.79,26.62,430.22,82.74,72.43
1003.0,15.8,465.87,77.36,41.1
1008.71,17.8,458.92,78.5,43.72
1021.46,5.5,478.65,78.91,39.04
1020.23,12.38,467.04,81.5,44.2
1018.91,17.14,457.02,62.18,44.2
1016.14,9.41,477.34,78.38,39.61
1015.96,14.44,469.85,81.97,41.2
1022.21,11.68,475.13,85.76,40.55
1021.51,17.48,460.01,84.53,49.39
1021.42,13.87,472.12,64.02,41.74
1011.06,23.57,437.53,82.79,70.04
1015.48,15.85,464.72,88.65,49.69
1011.19,25.59,435.48,81.52,73.5
1019.76,13.95,461.18,75.51,71.14
1014.79,17.12,463.39,87.03,49.5
1007.9,23.99,437.1,78.57,67.69
1006.28,24.41,442.62,70.33,52.3
1010.87,30.25,437.28,60.4,71.8
1010.48,13.38,472.15,92.55,40.89
1013.62,27.55,431.86,81.13,73.68
1000.73,25.16,439.37,86.4,77.3
1010.75,34.15,430.19,37.02,68.51
1017.66,12.68,465.94,92.08,40.73
1011.2,24.64,444.95,72.67,58.49
1007.87,25.38,446.31,73.59,70.94
1005.99,31.35,434.43,62.35,71.32
1024.0,7.79,477.0,97.2,41.01
1016.88,19.19,453.16,66.58,63.31
1020.25,11.8,466.52,93.54,42.34
1012.79,20.47,451.71,88.67,63.07
1010.5,24.82,438.69,64.67,71.94
1010.34,29.6,434.64,52.56,71.58
1025.49,9.48,472.16,73.81,40.11
1011.39,28.42,438.25,62.72,73.4
1013.0,11.86,478.29,66.92,39.85
1011.39,14.48,470.44,82.18,40.89
1005.35,4.71,486.79,82.26,42.07
1018.07,21.7,444.66,88.15,60.77
1006.19,28.97,434.7,65.81,67.9
1025.09,14.1,468.22,79.42,44.84
1020.64,11.74,470.05,82.15,40.71
1010.48,23.82,446.85,44.45,48.92
1006.56,23.01,450.67,74.95,44.05
1010.99,25.77,433.46,73.58,68.08
1013.12,27.0,440.58,61.39,59.15
1015.91,11.92,464.9,55.4,40.62
1012.84,12.83,474.81,84.29,41.67
1009.94,13.69,466.72,74.64,43.22
1030.94,14.17,466.2,66.47,42.86
1020.37,12.82,464.07,81.06,41.58
1012.6,16.7,455.93,96.15,46.18
1028.15,6.5,480.96,86.78,41.14
1023.29,8.28,486.4,79.44,40.56
1009.46,28.46,435.75,79.75,69.75
1012.07,27.16,437.4,39.05,56.85
1011.84,14.12,471.86,88.29,42.86
1014.3,10.8,478.19,87.44,40.69
1005.7,21.4,445.09,73.09,44.57
1014.96,26.45,450.76,65.55,54.5
1017.16,27.39,441.04,53.75,66.93
1003.67,25.78,442.46,67.23,47.93
1015.13,9.5,478.8,63.41,37.36
1010.01,25.1,439.93,79.41,74.87
999.43,31.98,430.92,59.42,70.17
1014.49,11.71,471.49,86.09,40.05
1013.66,13.81,464.23,88.16,40.2
1012.8,21.95,448.9,61.55,68.63
1017.74,6.94,480.07,81.43,39.61
1011.33,14.26,471.19,88.37,42.86
1010.53,19.04,446.59,100.09,50.12
1014.04,14.65,470.41,77.98,39.28
1016.27,22.35,448.41,73.93,65.61
1014.2,33.33,436.05,42.28,73.03
1012.16,12.32,455.71,88.37,41.62
1009.38,29.55,436.29,69.55,66.25
1017.83,14.81,463.06,75.09,42.77
1013.32,19.48,454.4,73.16,58.66
1011.6,28.01,449.82,49.2,51.43
1003.54,31.46,425.68,59.51,70.79
1022.72,13.98,474.46,71.83,40.71
1012.07,27.32,432.74,86.3,73.42
1010.47,24.75,445.3,84.24,63.57
1011.87,28.29,438.25,64.17,61.86
1005.4,26.24,437.31,82.43,70.36
1019.79,9.54,481.18,65.61,41.17
1008.15,27.44,441.75,58.92,52.3
1012.03,20.86,449.67,92.46,51.3
1013.08,7.69,482.46,88.37,36.24
1021.0,22.97,450.07,70.61,64.15
1019.78,20.24,460.76,59.8,56.03
1014.1,8.5,485.76,86.64,39.16
1013.13,19.38,452.01,83.54,63.56
1012.94,21.31,446.76,88.39,58.05
1003.67,32.98,433.56,49.78,71.32
1010.82,26.49,434.91,83.42,78.92
1010.48,32.14,436.15,42.15,68.31
1018.89,9.45,476.1,84.29,43.5
1019.63,15.06,464.15,63.32,39.3
1021.26,15.7,462.19,86.83,44.21
1006.45,21.47,448.31,75.8,57.19
1025.07,9.08,479.02,81.32,36.71
1003.01,25.72,432.77,86.38,72.39
1009.27,20.25,448.37,97.97,63.91
1012.26,23.7,444.99,57.89,62.91
1003.51,31.84,432.04,46.22,71.37
1026.72,13.15,461.49,80.31,41.14
1015.24,10.33,478.79,86.72,41.44
1002.71,29.23,438.05,65.24,77.3
1013.17,20.29,445.52,74.94,65.27
1023.07,12.65,479.53,65.05,41.93
1014.37,25.06,443.03,38.82,65.46
1015.85,23.0,444.62,70.46,63.78
1006.8,21.9,452.13,60.48,47.43
1013.85,23.76,445.85,85.38,58.41
1018.98,10.05,481.38,83.71,41.17
1009.42,24.81,439.33,54.64,59.43
1013.05,25.69,450.94,42.0,64.45
1023.95,14.1,467.22,89.5,44.92
1020.01,10.17,482.36,84.86,41.46
1015.17,16.57,462.52,63.69,53.82
1014.57,19.02,465.42,43.37,44.85
1012.87,14.8,466.27,88.35,40.2
1013.92,29.39,434.27,47.36,69.89
1018.7,25.38,442.13,52.48,63.87
1017.97,13.52,463.71,95.34,42.34
1009.38,22.31,444.74,79.72,51.19
1018.86,17.55,461.58,76.0,43.14
1017.86,12.83,474.26,87.88,44.88
1008.87,26.77,434.35,74.68,74.22
1015.77,24.49,445.27,44.95,65.46
1012.92,15.21,467.0,56.61,43.56
1014.85,31.15,431.97,42.11,67.45
1017.99,19.45,451.96,62.86,38.52
1017.5,17.68,461.96,77.57,45.17
1016.26,22.01,443.75,75.99,58.46
1013.37,13.6,472.27,87.52,42.86
1002.27,17.63,462.13,73.42,40.55
1008.88,23.74,444.4,76.34,52.3
1010.11,21.34,452.0,80.7,51.61
1013.62,6.48,484.65,92.03,36.24
1017.46,24.32,438.08,80.14,59.14
1012.37,13.8,473.56,83.69,39.82
1006.24,30.74,434.89,53.38,71.77
1008.71,26.52,432.48,92.32,77.17
1013.3,24.01,448.35,52.24,46.93
1010.18,25.12,433.58,87.5,71.58
1012.49,33.26,429.38,52.68,68.51
998.79,3.38,489.11,97.76,41.31
1016.09,15.77,450.11,82.56,58.16
1018.73,10.75,471.47,93.16,45.01
1015.13,18.04,463.31,48.4,44.85
1017.75,20.79,456.01,73.35,50.59
1006.56,24.85,439.96,70.09,70.09
1015.53,14.87,468.75,57.7,35.71
1019.44,10.93,473.27,64.94,39.22
1018.84,9.51,471.32,70.12,40.46
1016.52,27.57,440.12,54.75,60.07
1013.5,26.13,440.99,47.67,48.06
1023.35,11.72,465.88,88.55,40.92
1020.22,13.32,451.93,88.3,41.7
1018.0,15.65,461.69,69.66,54.3
1008.19,28.98,434.08,73.45,70.8
1004.87,21.96,446.56,76.27,48.6
1008.85,21.29,447.78,71.6,47.45
1012.87,22.0,450.18,85.79,51.3
1018.1,16.49,461.54,93.13,49.39
1011.65,23.57,441.93,80.74,63.91
1010.81,22.72,438.01,92.43,69.13
1009.65,26.06,432.38,77.02,71.73
1012.2,31.11,435.69,58.86,74.16
1013.22,17.34,459.01,77.71,45.01
1016.12,24.42,449.1,69.32,64.79
1005.37,28.88,428.61,74.24,71.98
1020.06,14.28,466.75,81.77,42.77
1023.23,12.28,460.33,89.14,40.92
1018.15,19.92,451.16,60.68,38.52
1008.69,7.98,480.72,98.65,40.77
1006.86,29.17,430.59,64.92,72.99
1017.48,20.71,444.39,86.67,58.79
1012.23,25.15,444.19,48.22,62.91
1013.45,18.45,459.79,63.52,42.44
1007.23,27.96,433.35,78.51,77.24
1013.92,22.61,459.53,62.91,45.38
1010.51,10.62,478.37,68.55,39.64
1019.37,7.55,485.49,76.32,38.08
1016.52,28.84,428.98,67.43,74.67
1011.76,23.55,443.98,58.44,65.94
1014.76,19.11,464.66,45.86,44.85
1011.16,25.87,445.87,79.88,67.79
1017.31,11.68,473.51,99.82,40.55
1005.71,27.51,431.97,76.75,73.67
1012.56,14.43,470.17,78.52,39.82
1003.57,30.22,434.17,67.15,74.9
1008.97,18.41,453.12,73.81,44.9
1011.42,29.56,432.09,53.18,71.14
1007.83,31.54,430.07,62.98,77.24
1011.73,25.16,442.29,88.69,43.21
1005.62,30.75,436.97,57.95,73.88
1012.06,16.71,458.4,96.6,46.18
1019.03,20.29,448.22,76.07,63.09
1012.69,25.16,441.99,58.02,54.2
1003.82,22.56,437.73,77.46,66.48
1005.09,32.81,433.37,42.0,75.08
1008.5,27.04,433.25,75.41,69.98
1022.32,10.58,474.91,94.01,42.34
1011.23,22.91,444.48,63.43,66.44
1005.26,31.35,433.73,66.85,68.67
1005.02,10.55,473.99,63.24,41.55
1010.33,21.53,440.93,95.95,70.02
1012.81,13.42,472.22,73.82,38.91
1028.81,14.26,465.77,72.19,44.47
1010.35,21.89,444.6,80.39,74.78
1006.83,22.98,454.63,74.92,51.95
1019.69,18.63,454.03,73.67,61.27
1008.06,26.28,437.01,90.7,73.06
1005.78,10.12,475.46,62.34,41.55
1013.53,34.53,437.03,36.74,73.03
1009.09,25.55,439.37,79.35,71.64
1007.21,25.41,436.95,69.2,68.94
1014.47,25.59,444.9,37.89,65.46
1010.93,23.09,436.67,90.07,69.13
1017.61,10.31,485.25,69.61,40.67
1009.38,30.1,434.99,65.41,66.25
1013.83,16.81,464.36,77.11,42.86
1014.04,21.87,439.97,71.19,69.45
1012.29,26.75,430.45,87.28,43.21
1005.37,26.3,438.12,41.7,69.05
1006.71,27.19,428.79,73.99,64.96
1009.76,24.15,436.55,85.16,71.73
1009.4,29.28,433.14,76.3,77.17
1015.1,13.61,466.51,54.98,38.47
1012.54,22.04,447.27,62.17,57.32
1018.22,9.86,479.56,85.35,38.38
1016.53,25.81,437.57,62.19,66.51
1012.36,14.29,463.13,92.38,39.59
1011.07,23.15,436.16,85.83,69.48
1003.58,4.96,486.09,92.22,39.4
1017.07,19.11,449.89,85.49,58.95
1017.23,21.84,454.4,66.89,60.29
1007.65,27.4,435.74,78.13,77.24
1014.53,24.63,440.23,75.24,63.9
1005.22,24.37,440.22,59.27,68.14
1011.78,27.16,446.38,58.84,59.87
996.55,10.67,472.65,99.94,42.02
1013.81,11.2,472.2,72.81,37.5
1017.16,25.67,435.89,74.19,68.3
1008.91,25.93,434.08,79.43,69.34
1006.32,25.71,445.54,53.29,52.84
1011.94,22.98,438.5,90.13,73.17
1015.99,21.94,449.87,74.56,62.52
1013.0,22.67,443.79,66.59,68.08
1009.21,27.28,431.27,89.96,72.58
1020.29,20.24,455.25,77.75,56.53
1013.21,27.92,435.62,44.43,69.23
1003.8,31.95,426.37,55.25,70.79
1014.27,11.41,476.81,91.17,40.1
1014.73,23.74,445.47,81.9,63.9
1019.4,18.74,468.84,55.16,44.34
1008.96,11.22,477.53,72.38,41.66
1007.84,22.53,450.08,86.4,62.39
1012.45,26.31,436.83,77.22,77.95
1017.93,10.23,475.14,91.1,42.07
1015.26,9.07,479.98,56.81,36.3
1009.22,8.42,478.87,82.15,37.49
1012.69,4.87,482.05,94.72,42.85
1005.64,26.91,437.06,78.98,74.99
1016.72,10.77,479.19,75.27,41.44
1017.75,22.93,444.95,54.09,58.2
1009.2,20.19,454.36,72.13,44.57
1013.08,25.18,445.64,80.75,61.08
1021.26,14.1,460.01,73.87,41.16
1001.42,20.79,445.83,76.77,68.28
999.96,30.56,430.85,69.81,72.39
1013.59,17.67,457.99,83.31,53.16
1011.37,12.66,473.11,82.77,40.35
1013.62,17.28,454.76,89.97,65.94
1026.44,9.47,479.96,91.87,40.81
1001.38,20.32,456.18,57.21,39.72
1025.87,18.2,463.47,54.26,52.72
1023.32,7.81,475.46,82.08,40.71
1003.88,29.46,436.37,54.1,49.3
1010.86,22.68,441.47,82.8,70.47
1017.82,25.76,441.14,54.77,65.48
1003.97,23.3,439.49,72.16,52.84
1016.44,25.21,450.75,63.14,49.82
1019.5,18.82,455.29,72.23,61.27
1006.52,28.71,435.85,68.38,64.69
1001.43,7.0,483.92,97.12,41.55
1012.66,18.41,463.2,65.93,42.44
1005.54,29.06,435.98,69.84,71.64
1005.68,9.88,470.44,97.61,37.83
1017.19,20.06,447.35,88.73,60.77
1010.91,11.39,467.8,98.83,43.72
1007.11,28.7,436.58,69.85,71.64
1008.65,22.55,447.42,67.9,47.45
1016.16,28.08,438.83,58.08,59.14
1009.69,21.05,449.05,62.81,61.87
1017.28,14.47,457.45,87.36,48.14
1021.14,8.05,482.17,86.39,38.38
1022.31,13.41,475.9,76.29,45.0
1030.83,8.9,472.95,85.63,41.4
1016.33,18.83,453.28,74.23,48.98
1018.08,24.17,440.96,75.14,48.78
1007.75,26.73,438.17,67.73,49.02
1013.99,21.54,450.69,86.34,58.41
1013.97,26.12,439.77,51.6,63.31
1008.51,21.73,442.1,84.62,50.32
1009.44,28.28,443.12,60.89,61.47
1015.77,25.61,443.96,56.48,60.32
1006.91,25.28,431.43,81.74,70.32
1005.99,23.88,446.34,67.58,67.9
1003.3,34.6,427.65,34.32,64.96
1014.72,16.32,465.38,70.43,43.14
1010.14,23.56,441.29,89.72,67.79
1023.78,9.93,480.54,77.08,39.04
1011.28,24.93,437.35,83.09,73.5
1007.76,28.11,431.83,85.6,70.98
1009.94,29.2,441.9,55.37,64.84
1022.51,8.66,472.16,98.55,41.01
1021.33,9.35,482.16,66.75,41.03
1014.29,23.04,439.67,80.23,64.27
1016.47,7.38,485.73,96.29,41.22
1015.29,25.09,442.99,40.13,65.46
1017.33,5.47,485.7,72.71,38.68
1002.57,26.11,427.45,84.99,69.84
1008.74,6.62,482.74,94.57,42.49
1017.61,21.61,449.11,76.07,58.62
1007.44,29.97,428.42,53.26,70.32
1003.83,28.79,425.64,65.9,70.79
1011.95,23.9,451.99,67.87,61.41
1015.89,32.84,430.88,31.81,74.67
1023.91,11.11,476.37,87.12,40.55
1012.97,14.28,467.83,49.44,43.02
1009.7,19.94,445.97,66.6,61.87
1014.13,12.25,470.92,85.25,44.85
1014.37,15.15,463.98,89.82,37.64
1019.48,9.08,476.81,77.37,40.46
1008.96,26.58,434.41,77.36,70.98
1014.86,19.31,453.47,69.37,60.07
1011.09,33.3,430.16,63.98,80.18
1008.93,9.33,478.43,82.59,42.49
1015.05,26.96,441.81,46.93,65.34
1019.26,16.72,465.89,63.77,44.34
1012.95,14.38,464.27,86.1,45.09
1003.88,32.36,431.92,59.84,73.91
1015.04,27.08,447.24,50.8,63.78
1017.86,21.45,444.99,82.8,60.84
1013.25,20.25,448.93,68.92,58.33
1017.03,20.52,453.64,81.19,57.76
1010.82,26.04,430.32,75.58,68.08
1009.77,18.42,451.93,86.75,60.1
1024.23,8.06,476.03,94.48,39.96
1003.48,28.8,434.01,75.01,74.9
1011.43,23.34,441.14,89.74,73.5
1012.48,26.61,437.26,48.84,56.85
1015.81,29.24,432.61,59.95,74.67
1023.03,12.65,471.46,88.73,44.0
1015.84,12.08,476.84,86.9,40.75
1006.58,12.76,474.03,49.34,40.27
1003.73,25.65,440.05,68.48,49.3
1012.62,17.92,456.84,93.0,50.66
1016.64,16.45,454.69,45.21,41.48
1017.32,22.22,442.31,83.41,59.14
1007.75,18.56,462.05,60.89,42.28
1020.84,19.69,455.07,72.14,56.65
1014.24,20.27,446.93,86.55,63.56
1011.72,21.47,440.0,88.36,70.32
1021.26,10.1,468.19,94.06,41.58
1007.5,29.36,431.39,79.91,68.94
1012.85,18.62,450.81,82.54,59.15
1015.12,20.55,447.54,73.98,63.86
1020.87,8.57,485.18,84.15,40.69
1025.26,14.45,463.6,84.23,43.71
1007.19,31.17,431.01,67.34,70.98
1008.23,31.54,431.27,70.19,77.24
1024.38,14.19,467.8,83.03,43.71
1008.55,29.35,445.04,61.78,69.04
1008.3,29.63,438.64,72.53,69.59
1007.95,11.21,471.79,93.03,44.03
1010.74,13.74,473.19,87.69,41.16
1010.65,25.53,445.59,82.04,59.57
1013.88,31.67,426.35,39.33,69.89
1007.44,26.63,434.25,78.5,74.22
1013.86,24.66,444.42,56.39,58.86
1013.73,20.12,448.35,57.78,45.09
1021.18,9.52,478.79,73.78,39.61
1020.56,13.65,460.8,72.17,41.58
1011.9,25.44,437.99,56.76,66.54
1017.45,12.41,464.08,93.64,41.16
1019.06,14.05,472.19,68.54,41.39
1012.72,24.94,438.55,73.71,63.94
1011.08,6.08,483.08,90.59,35.79
1018.41,28.84,442.69,53.96,75.6
1014.35,7.51,485.38,86.46,43.02
1007.48,23.88,440.63,61.0,69.94
1009.25,31.88,427.83,64.06,66.44
1007.36,28.27,433.52,55.99,66.56
1011.81,23.96,451.11,71.81,51.3
1012.02,22.44,444.65,91.08,63.47
1015.86,14.01,470.1,69.24,38.91
1016.43,29.17,441.2,61.05,64.79
1016.48,14.53,464.86,76.36,39.0
999.3,31.42,430.78,61.22,70.17
1011.4,23.64,445.75,74.2,58.49
1013.2,26.25,450.53,53.12,52.09
1011.84,6.72,489.09,84.66,39.85
1011.54,21.9,447.4,81.83,63.13
1007.82,20.11,449.03,92.06,51.19
1012.22,29.22,430.57,64.91,73.18
1010.25,31.25,428.77,36.83,69.51
1011.71,8.13,486.19,87.89,39.99
1011.19,22.35,445.27,65.41,66.44
1022.61,13.87,473.39,84.22,38.01
1026.93,9.27,479.66,72.13,36.3
1022.19,17.32,469.38,40.45,45.0
1013.96,13.2,466.71,78.78,45.01
1013.39,15.83,460.22,81.9,45.01
1027.64,9.44,473.94,86.22,41.4
1009.87,26.17,440.09,34.43,48.92
1024.61,16.37,460.14,78.26,44.0
1015.45,10.74,477.93,87.33,40.05
1023.63,15.45,469.54,70.74,45.0
1000.09,28.54,433.35,74.67,76.86
1013.35,23.29,444.61,68.25,62.91
1019.79,9.54,481.18,65.61,41.17
1008.41,21.04,446.33,90.19,50.32
1017.93,23.56,443.13,76.34,60.77
1023.11,13.12,471.44,64.33,39.18
1008.81,26.03,438.15,71.35,70.32
1018.4,10.15,473.43,82.07,43.41
1008.34,25.87,440.26,65.83,59.43
1008.85,23.1,440.46,90.54,72.99
1010.32,22.35,443.9,93.02,63.94
1014.41,23.46,457.76,69.19,47.01
1008.07,29.76,432.51,84.85,73.56
1009.1,23.45,443.44,90.28,66.25
1009.51,33.18,435.26,58.35,72.29
1010.73,28.85,437.79,43.27,66.54
1017.94,25.37,434.16,79.26,66.75
1020.27,7.38,486.91,70.55,44.71
1016.66,10.9,479.45,86.2,41.46
1014.93,20.6,460.24,75.78,45.38
1015.82,13.43,471.77,87.9,40.1
1009.07,24.73,437.55,68.87,71.14
1010.27,24.36,448.71,63.78,68.61
1011.39,24.62,432.13,83.94,72.24
1011.43,10.87,474.07,95.56,37.5
1012.76,24.82,444.81,72.34,59.27
1014.62,25.31,453.05,62.15,49.82
1004.02,18.77,449.62,99.86,52.08
1008.43,21.5,447.83,78.13,61.5
1019.89,10.07,480.54,70.53,41.39
1015.02,27.92,437.28,51.04,68.3
1012.68,24.96,436.24,76.19,65.18
1010.42,20.67,448.75,94.09,70.02
1009.61,29.13,436.9,67.49,70.72
1012.43,24.47,441.07,75.25,75.23
1009.58,16.16,461.86,72.24,25.88
1016.26,21.32,452.7,76.26,59.8
1002.0,20.32,458.8,51.71,39.72
1011.71,24.32,435.34,71.65,71.14
1011.32,4.77,494.91,68.98,39.33
1012.27,20.87,446.7,79.51,63.31
1012.44,28.17,439.94,66.61,63.13
1012.13,29.64,428.69,44.65,69.51
1012.51,25.25,443.14,62.64,62.91
1017.8,22.25,444.05,82.19,60.77
1008.24,22.49,442.58,75.8,71.29
1010.96,29.16,429.06,67.77,73.17
1024.09,14.49,465.72,86.55,44.84
1013.44,11.95,465.41,74.83,41.48
1008.0,26.99,430.81,76.1,72.99
1013.99,26.36,430.39,86.44,73.68
1010.57,9.91,478.63,75.82,39.64
1008.61,23.94,448.67,73.42,51.95
1014.61,22.84,443.71,80.36,59.39
1019.85,13.64,466.66,56.86,44.88
1012.13,20.01,455.66,65.53,43.77
1016.61,18.58,459.06,48.15,44.6
1006.86,25.69,429.99,86.38,72.43
1008.55,26.98,431.12,78.5,72.58
1023.55,13.73,470.35,81.64,45.08
1008.24,28.67,433.79,72.68,69.14
1010.49,29.22,438.57,48.73,75.23
1010.24,25.67,440.48,68.87,74.78
1016.47,22.67,449.34,65.63,62.52
1024.48,16.44,460.33,76.51,44.0
1016.98,23.26,440.37,76.29,59.14
1012.98,21.14,449.74,87.27,58.05
1014.85,31.68,431.11,64.0,73.68
1008.08,8.8,479.74,96.52,41.26
1021.29,18.13,458.53,82.52,49.39
1004.32,22.68,437.96,95.44,59.54
1015.48,14.56,469.31,73.73,40.69
1005.21,29.28,436.15,59.0,75.08
1016.37,14.0,463.99,85.51,43.34
1009.2,23.76,437.47,92.98,74.22
1011.07,20.98,450.95,79.44,60.1
1005.84,27.61,437.85,71.27,59.54
1028.18,8.86,483.36,91.0,40.8
1017.14,25.64,444.34,49.25,63.87
1015.72,13.5,471.34,68.36,41.44
1015.94,33.94,427.98,28.16,74.67
1024.19,11.72,468.98,68.53,39.18
1009.82,28.61,440.53,71.7,69.75
1010.36,20.11,451.95,88.89,57.25
1004.97,30.61,429.8,47.46,67.69
1013.11,22.04,447.28,85.22,58.05
1012.38,27.62,442.13,60.25,67.51
1017.59,24.09,442.92,51.02,63.94
1012.91,23.22,446.62,77.59,63.07
1013.97,16.2,451.86,89.84,65.46
1026.61,9.7,473.97,75.48,40.11
1017.29,22.85,448.58,61.92,60.29
1008.19,31.18,441.26,49.72,69.04
1008.58,15.43,464.05,87.99,39.64
1014.22,24.57,455.72,56.31,49.5
1023.48,9.52,483.59,86.49,40.96
1013.89,26.38,442.38,43.06,66.49
1009.39,26.32,441.25,67.05,69.71
1003.95,25.92,440.98,71.3,50.16
1014.77,12.19,473.92,84.39,40.05
1008.66,19.79,455.59,72.68,44.9
1019.66,9.76,467.6,97.59,41.01
1006.87,16.74,463.0,74.24,41.16
1020.25,11.34,477.24,75.83,41.54
1007.8,25.9,443.13,55.96,47.45
1012.25,16.63,458.66,75.09,43.77
1012.16,17.45,458.67,83.8,50.9
1012.73,23.34,455.82,74.09,45.61
1012.62,24.41,442.64,64.52,58.59
1011.15,12.31,468.29,77.34,44.78
1013.37,10.35,472.63,69.26,37.14
1010.29,33.43,433.01,53.45,66.44
1015.76,5.64,483.17,85.98,40.62
1009.86,24.8,438.96,71.75,61.02
1013.72,24.33,447.43,48.27,46.93
1014.65,14.87,467.29,80.24,38.28
1031.96,7.66,485.11,82.48,41.92
1012.79,27.61,438.31,77.01,69.68
1009.48,23.4,438.51,88.82,72.99
1016.48,13.98,473.01,77.59,44.58
1017.82,18.12,449.28,86.16,58.95
1007.38,17.12,454.47,79.15,48.6
1021.13,9.56,487.92,64.6,44.71
1011.5,24.85,444.53,70.12,58.05
1013.6,11.63,477.3,87.11,41.5
1014.34,17.19,464.72,68.62,43.14
1015.09,15.68,470.29,58.96,43.7
1005.2,23.64,439.66,64.53,69.94
1020.58,10.19,472.45,91.64,44.63
1008.63,27.71,432.59,64.05,70.32
1018.61,9.12,482.95,79.26,41.54
1007.24,15.78,460.86,84.23,48.6
1011.42,27.55,432.59,60.71,68.08
1017.04,14.5,465.32,75.75,39.0
1005.37,23.88,449.52,75.25,51.95
1004.55,25.01,434.74,82.46,66.56
1011.77,22.36,446.49,87.51,58.79
1009.4,27.76,442.83,50.15,44.89
1014.85,9.95,477.88,82.62,43.56
1016.49,17.48,449.26,90.35,58.95
1006.71,17.35,453.96,80.57,47.83
1022.38,12.82,471.41,84.32,43.5
1003.93,28.86,435.75,52.85,49.3
1010.3,33.41,432.9,59.72,77.95
1022.12,13.63,468.28,84.32,43.5
1005.51,24.49,430.54,88.65,70.79
1011.44,25.58,443.66,66.81,63.47
1013.07,24.25,445.44,69.31,74.93
1017.52,9.59,481.05,61.89,38.56
1020.98,23.27,452.26,71.18,64.15
1010.76,23.09,439.36,79.89,70.47
1009.22,28.35,427.21,47.13,70.32
1012.26,19.62,453.84,68.05,68.63
1002.5,29.13,435.61,49.1,47.93
1012.49,21.92,443.03,79.82,66.54
1020.45,12.52,470.56,97.41,40.24
1001.91,18.17,451.06,100.09,52.08
1011.23,27.5,441.27,65.37,65.59
1016.75,14.48,464.56,75.97,39.0
1013.23,19.41,452.6,86.28,46.63
1007.68,24.43,446.45,65.18,47.45
1009.96,25.45,439.56,67.78,63.76
1015.37,10.07,479.64,83.78,39.66
1012.52,18.85,451.77,67.88,48.06
1020.52,24.65,446.04,53.45,64.63
1020.0,18.99,453.09,76.76,62.1
1025.17,8.8,476.5,68.72,39.42
1021.35,10.16,472.75,52.4,41.79
1007.48,27.75,433.57,78.37,77.24
1007.84,23.43,448.01,87.11,61.47
1013.3,28.62,432.11,68.53,69.98
1014.52,15.82,460.4,79.07,43.34
1005.69,22.61,443.45,76.74,44.05
1015.01,23.96,446.4,65.24,60.95
1005.6,29.81,430.67,60.91,73.67
1007.99,26.98,434.73,68.16,70.94
1020.01,7.64,488.53,75.14,41.17
1012.86,20.07,461.25,74.11,42.23
1017.99,19.05,451.0,89.53,59.21
1013.81,26.27,438.82,60.43,58.33
1017.55,22.45,450.61,58.6,57.76
1002.3,26.52,437.02,95.38,73.21
1006.09,24.73,439.86,59.15,69.94
1007.64,26.11,445.37,70.12,70.36
1020.85,10.87,477.03,69.78,38.38
1016.53,7.19,486.05,88.61,38.91
1014.57,14.91,469.34,75.23,39.28
1025.21,19.5,457.26,50.21,52.72
1011.15,22.96,447.18,76.62,68.61
1007.15,29.74,438.76,41.91,56.9
996.35,16.03,464.67,82.04,41.23
1026.31,17.35,463.65,58.01,52.72
1015.47,11.26,471.83,99.28,39.35
1012.74,27.82,442.0,42.78,59.15
1006.73,28.15,427.69,68.21,71.94
1019.37,14.66,463.6,79.79,42.77
1007.65,26.56,438.82,70.78,49.02
1018.01,15.49,460.32,78.07,42.07
1012.4,29.29,430.31,66.65,73.18
1011.75,21.69,446.61,82.63,57.17
1010.83,33.67,431.99,60.87,80.18
1012.47,20.79,446.18,70.09,57.32
1009.32,23.35,441.28,73.48,71.85
1011.18,27.01,440.64,46.58,43.77
